Ville,NPA,Canton
Brig,3900,VS
Gamsen,3900,VS
Brigerbad,3900,VS
Glis,3902,VS
Eggerberg,3939,VS
Mund,3903,VS
Birgisch,3903,VS
Naters,3904,VS
Blatten b. Naters,3914,VS
Belalp,3914,VS
Rothwald,3901,VS
Ried-Brig,3911,VS
Simplon Dorf,3907,VS
Simplon Hospiz,3907,VS
Gabi (Simplon),3907,VS
Termen,3912,VS
Rosswald,3913,VS
Gondo,3907,VS
Ardon,1957,VS
Chamoson,1955,VS
Mayens-de-Chamoson,1955,VS
Les Vérines (Chamoson),1955,VS
Némiaz (Chamoson),1955,VS
Grugnay (Chamoson),1955,VS
St-Pierre-de-Clages,1955,VS
Conthey,1964,VS
St-Séverin,1975,VS
Erde,1976,VS
Aven,1976,VS
Daillon,1976,VS
Clèbes (Nendaz),1993,VS
Aproz (Nendaz),1994,VS
Basse-Nendaz,1996,VS
Fey (Nendaz),1996,VS
Bieudron (Nendaz),1996,VS
Condémines (Nendaz),1996,VS
Saclentse,1996,VS
Baar (Nendaz),1996,VS
Beuson (Nendaz),1996,VS
Brignon (Nendaz),1996,VS
Haute-Nendaz,1997,VS
Siviez (Nendaz),1997,VS
Sornard (Nendaz),1997,VS
Vétroz,1963,VS
Bourg-St-Pierre,1946,VS
Liddes,1945,VS
Fontaine Dessus (Liddes),1945,VS
Fontaine Dessous (Liddes),1945,VS
Dranse (Liddes),1945,VS
Chandonne (Liddes),1945,VS
Rive Haute (Liddes),1945,VS
Fornex (Liddes),1945,VS
Les Moulins VS (Liddes),1945,VS
Vichères (Liddes),1945,VS
Palasuit (Liddes),1945,VS
Chez Petit (Liddes),1945,VS
Petit Vichères (Liddes),1945,VS
Orsières,1937,VS
Champex-Lac,1938,VS
Praz-de-Fort,1943,VS
La Fouly VS,1944,VS
Sembrancher,1933,VS
Chamoille (Sembrancher),1933,VS
La Garde (Sembrancher),1933,VS
Chemin,1927,VS
Vens (Sembrancher),1933,VS
Le Châble VS,1934,VS
Bruson,1934,VS
Verbier,1936,VS
Vollèges,1941,VS
Cries (Vollèges),1941,VS
Levron,1942,VS
Versegères,1947,VS
Champsec,1947,VS
Lourtier,1948,VS
Fionnay,1948,VS
Sarreyer,1948,VS
Bellwald,3997,VS
Binn,3996,VS
Ernen,3995,VS
Ausserbinn,3995,VS
Mühlebach (Goms),3995,VS
Steinhaus,3995,VS
Fiesch,3984,VS
Jungfraujoch,3801,VS
Fieschertal,3984,VS
Lax,3994,VS
Ulrichen,3988,VS
Obergesteln,3988,VS
Oberwald,3999,VS
Münster VS,3985,VS
Geschinen,3985,VS
Biel VS,3989,VS
